@RELATION posicoes

@ATTRIBUTE faltasofrida	REAL
@ATTRIBUTE passeerrado	REAL
@ATTRIBUTE assistencia	REAL
@ATTRIBUTE finalizaçãonatrave	REAL
@ATTRIBUTE finalizaçãodefendida	REAL
@ATTRIBUTE finalizaçãoprafora	REAL
@ATTRIBUTE Gol	REAL
@ATTRIBUTE impedimento	REAL
@ATTRIBUTE penaltyperdido	REAL
@ATTRIBUTE roubadadebola	REAL
@ATTRIBUTE faltacometida	REAL
@ATTRIBUTE golcontra	REAL
@ATTRIBUTE cartãoamarelo	REAL
@ATTRIBUTE cartãovermelho	REAL
@ATTRIBUTE posicao	{ATA,LAT,MEI,ZAG}

@DATA
43,75,4,4,21,21,9,30,0,21,23,0,4,1,ATA
38,68,3,0,16,19,6,9,0,22,31,0,3,1,ATA
50,81,4,1,6,8,2,2,0,38,57,0,6,0,LAT
5,9,0,0,1,1,1,0,0,11,6,0,2,0,MEI
7,21,1,0,1,1,0,3,0,9,19,0,5,0,LAT
7,15,2,0,0,3,0,0,0,5,6,0,1,0,LAT
34,72,1,1,8,14,3,5,0,37,41,0,7,1,ZAG
2,1,2,0,1,0,1,0,0,0,1,0,0,0,MEI
34,115,2,0,14,31,11,8,0,30,49,0,9,0,ATA
13,69,5,0,9,10,3,18,0,31,20,0,2,1,LAT
46,115,8,2,13,12,5,5,0,30,31,0,3,0,MEI
1,8,0,0,0,1,3,0,0,3,6,0,1,0,ZAG
19,93,1,0,4,4,0,5,0,33,6,0,1,0,ZAG
23,50,1,1,0,6,0,4,0,34,29,0,7,0,ZAG
26,57,3,0,9,13,2,5,0,23,19,0,2,0,LAT
40,54,2,0,3,2,1,0,0,35,31,0,5,0,LAT
13,47,1,1,5,11,4,0,0,32,37,0,3,0,ZAG
16,105,3,0,5,4,2,1,0,44,37,0,6,1,LAT
45,154,4,0,3,10,0,6,0,49,34,0,8,0,LAT
26,106,2,0,1,7,1,0,0,67,54,1,9,1,LAT
13,34,0,0,2,9,1,1,0,18,21,0,6,1,ZAG
15,43,0,0,3,5,0,1,0,32,19,0,1,1,ZAG
13,55,0,1,4,14,4,3,0,44,39,1,8,0,ZAG
63,110,7,0,17,12,10,15,0,30,22,0,7,0,ATA
12,59,0,0,3,6,0,2,0,17,24,0,1,1,LAT
16,31,0,0,1,3,0,1,0,34,19,0,7,0,ZAG
26,74,2,1,3,8,2,1,0,28,30,0,5,0,LAT
21,46,2,0,10,11,4,2,0,13,20,0,0,0,MEI
30,80,0,0,5,7,1,6,0,67,43,0,7,0,MEI
22,29,1,0,9,8,4,7,0,7,7,0,1,0,ATA
15,57,0,1,0,8,0,2,0,39,32,0,9,0,ZAG
2,21,0,0,0,0,0,5,0,14,11,0,0,1,LAT
31,34,2,3,10,14,4,16,0,8,24,0,4,1,ATA
23,85,2,0,13,19,9,9,0,13,19,0,3,0,ATA
27,86,2,0,3,4,1,4,0,20,46,1,4,0,LAT
19,32,1,0,2,9,0,2,0,48,35,0,6,1,LAT
11,63,1,1,2,3,2,1,0,15,20,1,3,0,ZAG
11,17,2,0,6,9,5,9,0,4,7,0,1,0,ATA
51,71,0,0,0,11,0,0,0,52,28,0,4,0,MEI
27,105,4,0,9,18,7,11,0,44,36,0,7,0,ATA
8,13,0,0,1,5,2,0,0,14,10,0,1,0,MEI
53,113,1,0,1,3,0,4,0,20,27,0,7,0,LAT
0,3,0,0,1,0,0,0,0,4,1,0,0,0,MEI
45,139,9,0,14,19,9,8,0,26,40,0,7,1,MEI
55,60,2,0,14,18,14,13,0,18,26,0,3,0,ATA
34,87,2,0,0,7,1,1,0,23,30,2,6,1,LAT
29,32,0,0,0,4,1,0,0,35,32,0,6,0,MEI
21,21,0,0,9,9,3,12,0,10,31,0,5,0,ATA
38,155,2,2,13,16,2,6,0,33,39,0,8,0,LAT
43,54,1,0,2,8,0,0,0,84,55,0,11,0,MEI
30,42,4,0,8,10,2,3,0,37,15,0,1,0,LAT
37,93,2,0,2,2,0,3,0,47,42,0,8,0,LAT
47,89,0,0,18,21,4,2,0,59,32,0,8,2,ZAG
53,115,9,2,9,17,2,6,0,42,39,0,6,1,MEI
35,66,1,0,9,15,0,0,0,96,46,0,7,0,MEI
18,82,1,0,0,2,0,1,0,27,34,0,5,0,LAT
5,7,1,0,1,1,0,0,0,1,2,0,0,0,ZAG
8,11,0,0,0,3,0,0,0,5,3,0,3,0,ZAG
51,68,1,0,3,3,0,1,0,36,31,0,1,0,LAT
42,82,6,0,13,17,7,29,0,15,39,0,6,1,ATA
54,74,4,1,21,30,11,17,1,36,41,0,6,0,ATA
6,30,0,0,0,1,1,0,0,8,13,0,5,0,ZAG
3,8,0,1,3,0,0,1,0,2,4,0,0,0,MEI
23,75,2,0,3,11,1,2,0,43,33,0,5,0,ZAG
2,5,0,0,1,0,0,0,0,4,5,0,1,0,LAT
6,6,0,0,0,1,1,0,0,5,5,0,0,0,LAT
39,61,0,0,0,3,1,0,0,37,25,0,4,0,MEI
25,96,4,0,10,4,0,3,0,37,34,0,4,1,MEI
36,161,4,0,4,3,1,0,0,65,41,1,9,0,LAT
0,19,0,0,0,0,0,2,0,11,6,0,2,0,ZAG
9,37,0,1,4,5,3,1,0,14,15,0,1,0,ZAG
12,48,2,0,5,1,0,0,0,51,58,0,7,0,MEI
11,12,0,0,2,2,0,3,0,11,17,0,2,0,ZAG
